Dataset,Model,overall_dataset_auc,overall_dataset_auc_std,student_auc_mean,student_auc_mean_std,student_auc_std,student_auc_std_std,student_auc_max,student_auc_max_std,student_auc_min,student_auc_min_std,student_auc_range,student_auc_range_std,unfairness_metric,Folds_Present
algebra2005,akt,0.831695,0.001727,0.797191,0.002484,0.070333,0.001388,0.968571,0.025555,0.438,0.0333,0.530571,0.026548,21.362845,"0,1,2,3,4"
algebra2005,atkt,0.829249,0.001566,0.798564,0.002419,0.059948,0.003843,0.982857,0.025555,0.597014,0.04712,0.385843,0.06523,34.523972,"0,1,2,3,4"
algebra2005,atktfix,0.801388,0.003126,0.768044,0.003481,0.059398,0.002108,0.931746,0.023677,0.525,0.023746,0.406746,0.039476,31.790087,"0,1,2,3,4"
algebra2005,bakt,0.828894,0.000396,0.794039,0.001767,0.070695,0.001125,0.965714,0.007825,0.474667,0.038413,0.491048,0.034415,22.873409,"0,1,2,3,4"
algebra2005,deep_irt,0.803818,0.001359,0.769227,0.001292,0.06709,0.002739,0.991429,0.007825,0.544669,0.0215,0.446759,0.026631,25.663851,"0,1,2,3,4"
algebra2005,dimkt,0.828781,0.001082,0.797149,0.00129,0.067549,0.002917,0.948953,0.036449,0.517,0.056867,0.431953,0.0731,27.320289,"0,1,2,3,4"
algebra2005,dkt,0.816396,0.001165,0.782408,0.000241,0.06075,0.001498,0.968571,0.018626,0.547986,0.035238,0.420585,0.018484,30.622058,"0,1,2,3,4"
algebra2005,dkt+,0.817112,0.001223,0.782712,0.001893,0.061062,0.001362,0.962857,0.027848,0.556952,0.032896,0.405905,0.043618,31.579557,"0,1,2,3,4"
algebra2005,dkt_forget,0.815939,0.00125,0.781617,0.000352,0.064647,0.001307,0.968571,0.018626,0.551667,0.029439,0.416905,0.033264,29.000742,"0,1,2,3,4"
algebra2005,dkvmn,0.805205,0.000992,0.771078,0.001471,0.067416,0.002871,0.991429,0.007825,0.572423,0.014289,0.419005,0.021682,27.297085,"0,1,2,3,4"
algebra2005,gkt,0.81082,0.001035,0.775013,0.001772,0.065071,0.002213,0.966032,0.021254,0.559744,0.026289,0.406287,0.026524,29.314762,"0,1,2,3,4"
algebra2005,hawkes,0.823781,0.001142,0.795471,0.001759,0.063685,0.002294,0.944444,0.0,0.542073,0.027577,0.402371,0.027577,31.04256,"0,1,2,3,4"
algebra2005,kqn,0.803424,0.001834,0.769828,0.002579,0.06463,0.002699,0.974286,0.011952,0.53993,0.041886,0.434356,0.045162,27.423045,"0,1,2,3,4"
algebra2005,saint,0.776407,0.002125,0.746682,0.003984,0.068699,0.001641,0.888799,0.032566,0.495919,0.026277,0.39288,0.029961,27.664607,"0,1,2,3,4"
algebra2005,sakt,0.793743,0.003206,0.754827,0.004947,0.072293,0.002259,0.944988,0.04818,0.425007,0.032359,0.519981,0.054849,20.080014,"0,1,2,3,4"
algebra2005,skvmn,0.654848,0.01374,0.614084,0.011583,0.075146,0.003691,0.916667,0.062113,0.373868,0.023476,0.542799,0.073419,15.05507,"0,1,2,3,4"
assist2009,akt,0.769208,0.004491,0.639557,0.00202,0.202832,0.002812,1.0,0.0,0.0,0.0,1.0,0.0,3.153141,"0,1,2,3,4"
assist2009,atkt,0.737353,0.002455,0.627026,0.005071,0.190907,0.002474,1.0,0.0,0.0,0.0,1.0,0.0,3.284464,"0,1,2,3,4"
assist2009,atktfix,0.710635,0.001817,0.57071,0.001843,0.197189,0.0022,1.0,0.0,0.0,0.0,1.0,0.0,2.894232,"0,1,2,3,4"
