Dataset,Model,overall_dataset_auc,overall_dataset_auc_std,student_auc_mean,student_auc_mean_std,student_auc_std,student_auc_std_std,student_auc_max,student_auc_max_std,student_auc_min,student_auc_min_std,student_auc_range,student_auc_range_std,unfairness_metric,average_auc,average_auc_std,gini_coefficient,gini_coefficient_std,eawi_alpha_10,eawi_alpha_10_std,eawi_alpha_20,eawi_alpha_20_std,eawi_alpha_30,eawi_alpha_30_std,Folds_Present
algebra2005,akt,"0    0.828331
Name: overall_dataset_auc_mean, dtype: float64","0    0.001774
Name: overall_dataset_auc_std, dtype: float64","0    0.797012
Name: student_auc_mean_mean, dtype: float64","0    0.002736
Name: student_auc_mean_std, dtype: float64","0    0.067973
Name: student_auc_std_mean, dtype: float64","0    0.001482
Name: student_auc_std_std, dtype: float64","0    0.968571
Name: student_auc_max_mean, dtype: float64","0    0.025555
Name: student_auc_max_std, dtype: float64","0    0.438
Name: student_auc_min_mean, dtype: float64","0    0.0333
Name: student_auc_min_std, dtype: float64","0    0.530571
Name: student_auc_range_mean, dtype: float64","0    0.026548
Name: student_auc_range_std, dtype: float64",22.099718726814373,"0    0.797012
Name: student_auc_average_auc_mean, dtype: float64","0    0.002736
Name: student_auc_average_auc_std, dtype: float64","0    0.043359
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.0005
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.762455
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002829
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.729396
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002945
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.697771
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.003072
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,atkt,"0    0.82622
Name: overall_dataset_auc_mean, dtype: float64","0    0.001516
Name: overall_dataset_auc_std, dtype: float64","0    0.798428
Name: student_auc_mean_mean, dtype: float64","0    0.002409
Name: student_auc_mean_std, dtype: float64","0    0.057591
Name: student_auc_std_mean, dtype: float64","0    0.004024
Name: student_auc_std_std, dtype: float64","0    0.982857
Name: student_auc_max_mean, dtype: float64","0    0.025555
Name: student_auc_max_std, dtype: float64","0    0.597014
Name: student_auc_min_mean, dtype: float64","0    0.04712
Name: student_auc_min_std, dtype: float64","0    0.385843
Name: student_auc_range_mean, dtype: float64","0    0.06523
Name: student_auc_range_std, dtype: float64",35.93133866751351,"0    0.798428
Name: student_auc_average_auc_mean, dtype: float64","0    0.002409
Name: student_auc_average_auc_std, dtype: float64","0    0.038599
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001688
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.767607
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.00137
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.737977
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001366
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.709493
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.002222
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,atktfix,"0    0.798314
Name: overall_dataset_auc_mean, dtype: float64","0    0.002964
Name: overall_dataset_auc_std, dtype: float64","0    0.76772
Name: student_auc_mean_mean, dtype: float64","0    0.003523
Name: student_auc_mean_std, dtype: float64","0    0.057114
Name: student_auc_std_mean, dtype: float64","0    0.002396
Name: student_auc_std_std, dtype: float64","0    0.931746
Name: student_auc_max_mean, dtype: float64","0    0.023677
Name: student_auc_max_std, dtype: float64","0    0.525
Name: student_auc_min_mean, dtype: float64","0    0.023746
Name: student_auc_min_std, dtype: float64","0    0.406746
Name: student_auc_range_mean, dtype: float64","0    0.039476
Name: student_auc_range_std, dtype: float64",33.04737470308388,"0    0.76772
Name: student_auc_average_auc_mean, dtype: float64","0    0.003523
Name: student_auc_average_auc_std, dtype: float64","0    0.039503
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001296
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.737393
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.00354
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.708265
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.003795
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.680288
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.004195
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,bakt,"0    0.824879
Name: overall_dataset_auc_mean, dtype: float64","0    0.000486
Name: overall_dataset_auc_std, dtype: float64","0    0.793581
Name: student_auc_mean_mean, dtype: float64","0    0.001823
Name: student_auc_mean_std, dtype: float64","0    0.068298
Name: student_auc_std_mean, dtype: float64","0    0.001115
Name: student_auc_std_std, dtype: float64","0    0.965714
Name: student_auc_max_mean, dtype: float64","0    0.007825
Name: student_auc_max_std, dtype: float64","0    0.474667
Name: student_auc_min_mean, dtype: float64","0    0.038413
Name: student_auc_min_std, dtype: float64","0    0.491048
Name: student_auc_range_mean, dtype: float64","0    0.034415
Name: student_auc_range_std, dtype: float64",23.662310060275832,"0    0.793581
Name: student_auc_average_auc_mean, dtype: float64","0    0.001823
Name: student_auc_average_auc_std, dtype: float64","0    0.044158
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000842
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.758539
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002341
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.725046
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002839
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.693031
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.003302
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,deep_irt,"0    0.800236
Name: overall_dataset_auc_mean, dtype: float64","0    0.001255
Name: overall_dataset_auc_std, dtype: float64","0    0.769395
Name: student_auc_mean_mean, dtype: float64","0    0.001178
Name: student_auc_mean_std, dtype: float64","0    0.065375
Name: student_auc_std_mean, dtype: float64","0    0.002917
Name: student_auc_std_std, dtype: float64","0    0.991429
Name: student_auc_max_mean, dtype: float64","0    0.007825
Name: student_auc_max_std, dtype: float64","0    0.544669
Name: student_auc_min_mean, dtype: float64","0    0.0215
Name: student_auc_min_std, dtype: float64","0    0.446759
Name: student_auc_range_mean, dtype: float64","0    0.026631
Name: student_auc_range_std, dtype: float64",26.342850220159118,"0    0.769395
Name: student_auc_average_auc_mean, dtype: float64","0    0.001178
Name: student_auc_average_auc_std, dtype: float64","0    0.044794
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001631
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.734931
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001766
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.702012
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002722
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.670569
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.003679
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dimkt,"0    0.825662
Name: overall_dataset_auc_mean, dtype: float64","0    0.001061
Name: overall_dataset_auc_std, dtype: float64","0    0.796826
Name: student_auc_mean_mean, dtype: float64","0    0.001204
Name: student_auc_mean_std, dtype: float64","0    0.065226
Name: student_auc_std_mean, dtype: float64","0    0.003045
Name: student_auc_std_std, dtype: float64","0    0.950168
Name: student_auc_max_mean, dtype: float64","0    0.033906
Name: student_auc_max_std, dtype: float64","0    0.517
Name: student_auc_min_mean, dtype: float64","0    0.056867
Name: student_auc_min_std, dtype: float64","0    0.433168
Name: student_auc_range_mean, dtype: float64","0    0.071662
Name: student_auc_range_std, dtype: float64",28.202302057267204,"0    0.796826
Name: student_auc_average_auc_mean, dtype: float64","0    0.001204
Name: student_auc_average_auc_std, dtype: float64","0    0.042658
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001213
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.762835
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001437
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.730295
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.002068
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.699144
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.00277
Name: student_auc_eawi_alpha_30_std, dtype: float64","42,42,42,42,3407"
algebra2005,dkt,"0    0.812289
Name: overall_dataset_auc_mean, dtype: float64","0    0.00112
Name: overall_dataset_auc_std, dtype: float64","0    0.78205
Name: student_auc_mean_mean, dtype: float64","0    0.000374
Name: student_auc_mean_std, dtype: float64","0    0.058832
Name: student_auc_std_mean, dtype: float64","0    0.00149
Name: student_auc_std_std, dtype: float64","0    0.968571
Name: student_auc_max_mean, dtype: float64","0    0.018626
Name: student_auc_max_std, dtype: float64","0    0.547986
Name: student_auc_min_mean, dtype: float64","0    0.035238
Name: student_auc_min_std, dtype: float64","0    0.420585
Name: student_auc_range_mean, dtype: float64","0    0.018484
Name: student_auc_range_std, dtype: float64",31.60586848039172,"0    0.78205
Name: student_auc_average_auc_mean, dtype: float64","0    0.000374
Name: student_auc_average_auc_std, dtype: float64","0    0.039687
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000846
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.751013
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.000703
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.721208
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001265
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.692586
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.00181
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dkt+,"0    0.812885
Name: overall_dataset_auc_mean, dtype: float64","0    0.001214
Name: overall_dataset_auc_std, dtype: float64","0    0.782292
Name: student_auc_mean_mean, dtype: float64","0    0.002142
Name: student_auc_mean_std, dtype: float64","0    0.058957
Name: student_auc_std_mean, dtype: float64","0    0.001628
Name: student_auc_std_std, dtype: float64","0    0.962857
Name: student_auc_max_mean, dtype: float64","0    0.027848
Name: student_auc_max_std, dtype: float64","0    0.556952
Name: student_auc_min_mean, dtype: float64","0    0.032896
Name: student_auc_min_std, dtype: float64","0    0.405905
Name: student_auc_range_mean, dtype: float64","0    0.043618
Name: student_auc_range_std, dtype: float64",32.68967113459268,"0    0.782292
Name: student_auc_average_auc_mean, dtype: float64","0    0.002142
Name: student_auc_average_auc_std, dtype: float64","0    0.0399
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000889
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.751078
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.001947
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.72111
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001995
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.692338
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.002223
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dkt_forget,"0    0.812201
Name: overall_dataset_auc_mean, dtype: float64","0    0.00122
Name: overall_dataset_auc_std, dtype: float64","0    0.781126
Name: student_auc_mean_mean, dtype: float64","0    0.000366
Name: student_auc_mean_std, dtype: float64","0    0.061996
Name: student_auc_std_mean, dtype: float64","0    0.001457
Name: student_auc_std_std, dtype: float64","0    0.968571
Name: student_auc_max_mean, dtype: float64","0    0.018626
Name: student_auc_max_std, dtype: float64","0    0.551667
Name: student_auc_min_mean, dtype: float64","0    0.029439
Name: student_auc_min_std, dtype: float64","0    0.416905
Name: student_auc_range_mean, dtype: float64","0    0.033264
Name: student_auc_range_std, dtype: float64",30.221603446988244,"0    0.781126
Name: student_auc_average_auc_mean, dtype: float64","0    0.000366
Name: student_auc_average_auc_std, dtype: float64","0    0.041892
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.000728
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.748402
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.000721
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.71705
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.001199
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.687012
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.001657
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
algebra2005,dkvmn,"0    0.80174
Name: overall_dataset_auc_mean, dtype: float64","0    0.001088
Name: overall_dataset_auc_std, dtype: float64","0    0.771331
Name: student_auc_mean_mean, dtype: float64","0    0.001721
Name: student_auc_mean_std, dtype: float64","0    0.065768
Name: student_auc_std_mean, dtype: float64","0    0.003021
Name: student_auc_std_std, dtype: float64","0    0.991429
Name: student_auc_max_mean, dtype: float64","0    0.007825
Name: student_auc_max_std, dtype: float64","0    0.572423
Name: student_auc_min_mean, dtype: float64","0    0.014289
Name: student_auc_min_std, dtype: float64","0    0.419005
Name: student_auc_range_mean, dtype: float64","0    0.021682
Name: student_auc_range_std, dtype: float64",27.99009902638284,"0    0.771331
Name: student_auc_average_auc_mean, dtype: float64","0    0.001721
Name: student_auc_average_auc_std, dtype: float64","0    0.044992
Name: student_auc_gini_coefficient_mean, dtype: float64","0    0.001828
Name: student_auc_gini_coefficient_std, dtype: float64","0    0.736628
Name: student_auc_eawi_alpha_10_mean, dtype: float64","0    0.002353
Name: student_auc_eawi_alpha_10_std, dtype: float64","0    0.703489
Name: student_auc_eawi_alpha_20_mean, dtype: float64","0    0.003354
Name: student_auc_eawi_alpha_20_std, dtype: float64","0    0.671842
Name: student_auc_eawi_alpha_30_mean, dtype: float64","0    0.004382
Name: student_auc_eawi_alpha_30_std, dtype: float64","0,1,2,3,4"
