Model,Dataset,student_auc_mean_formatted,student_auc_mean_value,student_auc_mean_std_value,student_auc_std_formatted,student_auc_std_value,student_auc_std_std_value,student_auc_range_formatted,student_auc_range_value,student_auc_range_std_value,gini_coefficient_formatted,gini_coefficient_value,gini_coefficient_std_value,eawi_alpha_10_formatted,eawi_alpha_10_value,eawi_alpha_10_std_value,eawi_alpha_20_formatted,eawi_alpha_20_value,eawi_alpha_20_std_value,eawi_alpha_30_formatted,eawi_alpha_30_value,eawi_alpha_30_std_value
akt,assist2009,0.6397±0.0020,0.639693,0.002047,0.2028±0.0028,0.202828,0.002798,1.0000±0.0000,1.0,0.0,0.1721±0.0027,0.17212,0.002727,0.5296±0.0029,0.529591,0.002899,0.4384±0.0037,0.438443,0.00371,0.3630±0.0042,0.362986,0.004222
akt,nips_task34,0.7196±0.0003,0.719597,0.000321,0.0950±0.0006,0.094958,0.000593,0.614±0.084,0.613877,0.083834,0.0731±0.0005,0.073061,0.000488,0.6670±0.0006,0.667023,0.000569,0.6183±0.0008,0.61829,0.000831,0.5731±0.0011,0.573117,0.001063
akt,peiyou,0.7683±0.0015,0.768287,0.001473,0.0574±0.0002,0.057359,0.000242,0.448±0.015,0.447643,0.015413,0.0418±0.0002,0.041846,0.000238,0.7361±0.0016,0.736137,0.001592,0.7053±0.0017,0.705333,0.001699,0.6758±0.0018,0.675818,0.001794
atktfix,assist2009,0.5710±0.0018,0.571011,0.001819,0.1973±0.0022,0.197294,0.002182,1.0000±0.0000,1.0,0.0,0.1858±0.0020,0.185839,0.001997,0.4649±0.0021,0.464895,0.002091,0.3785±0.0025,0.378502,0.002462,0.3082±0.0027,0.308165,0.002693
atktfix,nips_task34,0.6556±0.0013,0.655601,0.001253,0.0890±0.0008,0.088988,0.000778,0.667±0.052,0.667461,0.051807,0.0745±0.0007,0.074517,0.000662,0.6067±0.0015,0.606748,0.001476,0.5615±0.0017,0.561536,0.001705,0.5197±0.0019,0.519692,0.001913
atktfix,peiyou,0.7096±0.0006,0.709565,0.000622,0.0600±0.0001,0.059968,0.000136,0.611±0.041,0.610832,0.041052,0.0469±0.0001,0.046945,6.7e-05,0.6763±0.0006,0.676255,0.000555,0.6445±0.0005,0.644508,0.000495,0.6143±0.0004,0.614252,0.000441
bakt,assist2009,0.6322±0.0081,0.632224,0.00806,0.2000±0.0043,0.200008,0.004256,1.0000±0.0000,1.0,0.0,0.1713±0.0046,0.171286,0.004606,0.5240±0.0089,0.523952,0.008897,0.4342±0.0095,0.434233,0.009466,0.3599±0.0097,0.359887,0.009674
bakt,nips_task34,0.7217±0.0006,0.721698,0.000599,0.0920±0.0008,0.091971,0.000832,0.609±0.066,0.609225,0.066266,0.0707±0.0006,0.070739,0.000574,0.6706±0.0004,0.670645,0.000417,0.6232±0.0006,0.623204,0.000573,0.5791±0.0008,0.579119,0.000832
bakt,peiyou,0.7656±0.0008,0.76561,0.000773,0.0575±0.0005,0.057545,0.000476,0.450±0.032,0.449502,0.031547,0.0421±0.0003,0.042078,0.000335,0.7334±0.0009,0.733394,0.000932,0.7025±0.0011,0.702534,0.0011,0.6730±0.0013,0.672973,0.001266
deep_irt,assist2009,0.5856±0.0023,0.585585,0.002315,0.2004±0.0008,0.200369,0.000841,1.0000±0.0000,1.0,0.0,0.1848±0.0013,0.184752,0.001336,0.4774±0.0024,0.477399,0.002409,0.3892±0.0025,0.3892,0.002481,0.3173±0.0025,0.317297,0.002481
