Model,Dataset,student_auc_mean_formatted,student_auc_mean_value,student_auc_mean_std_value,student_auc_std_formatted,student_auc_std_value,student_auc_std_std_value,student_auc_range_formatted,student_auc_range_value,student_auc_range_std_value,gini_coefficient_formatted,gini_coefficient_value,gini_coefficient_std_value,eawi_alpha_10_formatted,eawi_alpha_10_value,eawi_alpha_10_std_value,eawi_alpha_20_formatted,eawi_alpha_20_value,eawi_alpha_20_std_value,eawi_alpha_30_formatted,eawi_alpha_30_value,eawi_alpha_30_std_value
akt,assist2009,0.6396±0.0020,0.639557,0.00202,0.2028±0.0028,0.202832,0.002812,1.0000±0.0000,1.0,0.0,0.1722±0.0028,0.172194,0.002753,0.5294±0.0029,0.52943,0.002901,0.4383±0.0037,0.438271,0.003729,0.3628±0.0043,0.362811,0.00425
akt,nips_task34,0.7155±0.0004,0.715516,0.000412,0.0978±0.0006,0.097793,0.000579,0.620±0.085,0.620303,0.084612,0.0759±0.0005,0.075918,0.000486,0.6612±0.0006,0.661195,0.00065,0.6110±0.0009,0.610999,0.000897,0.5646±0.0011,0.564613,0.001114
akt,peiyou,0.7686±0.0017,0.768576,0.00167,0.0617±0.0003,0.061704,0.000273,0.515±0.025,0.515292,0.025134,0.0449±0.0003,0.044932,0.000275,0.7340±0.0018,0.734042,0.001795,0.7011±0.0019,0.701061,0.001908,0.6696±0.0020,0.669561,0.002008
atktfix,assist2009,0.5707±0.0018,0.57071,0.001843,0.1972±0.0022,0.197189,0.0022,1.0000±0.0000,1.0,0.0,0.1858±0.0020,0.185817,0.001998,0.4647±0.0021,0.464663,0.002088,0.3783±0.0025,0.378323,0.002451,0.3080±0.0027,0.308028,0.002681
atktfix,nips_task34,0.6512±0.0013,0.651217,0.001261,0.0910±0.0007,0.090958,0.000691,0.681±0.052,0.680985,0.051762,0.0767±0.0006,0.076722,0.000609,0.6013±0.0015,0.601255,0.00146,0.5551±0.0017,0.555126,0.001658,0.5125±0.0018,0.512536,0.001834
atktfix,peiyou,0.7071±0.0007,0.70712,0.000702,0.0647±0.0002,0.064662,0.000195,0.618±0.026,0.618389,0.02576,0.0508±0.0001,0.050798,0.000107,0.6712±0.0006,0.671199,0.000601,0.6371±0.0005,0.637104,0.000511,0.6047±0.0004,0.60474,0.000432
bakt,assist2009,0.6320±0.0081,0.631963,0.008074,0.2000±0.0043,0.199967,0.004256,1.0000±0.0000,1.0,0.0,0.1714±0.0046,0.171354,0.004617,0.5237±0.0089,0.523694,0.008906,0.4340±0.0095,0.433984,0.009475,0.3597±0.0097,0.35965,0.009683
bakt,nips_task34,0.7176±0.0005,0.717619,0.000526,0.0946±0.0008,0.094628,0.000807,0.617±0.062,0.617092,0.062324,0.0735±0.0006,0.073451,0.000563,0.6649±0.0004,0.664909,0.000428,0.6161±0.0006,0.616071,0.000625,0.5708±0.0009,0.57082,0.000881
bakt,peiyou,0.7663±0.0007,0.766333,0.000704,0.0617±0.0005,0.061716,0.0005,0.492±0.016,0.492361,0.016363,0.0451±0.0004,0.045082,0.000355,0.7318±0.0009,0.731785,0.000879,0.6988±0.0011,0.698795,0.001064,0.6673±0.0012,0.667292,0.001243
deep_irt,assist2009,0.5852±0.0023,0.585206,0.002327,0.2003±0.0009,0.200261,0.000853,1.0000±0.0000,1.0,0.0,0.1848±0.0013,0.184754,0.001344,0.4771±0.0024,0.477088,0.002413,0.3889±0.0025,0.388946,0.002482,0.3171±0.0025,0.317089,0.002482
deep_irt,nips_task34,0.6537±0.0006,0.653719,0.000567,0.0894±0.0013,0.089394,0.001344,0.716±0.033,0.716252,0.032663,0.0752±0.0011,0.07525,0.001137,0.6045±0.0011,0.604527,0.001064,0.5590±0.0016,0.559038,0.001626,0.5170±0.0021,0.516971,0.002122
deep_irt,peiyou,0.7098±0.0009,0.709781,0.000881,0.0632±0.0003,0.063188,0.000305,0.577±0.043,0.577189,0.042829,0.0495±0.0002,0.049523,0.000186,0.6746±0.0008,0.674631,0.000824,0.6412±0.0008,0.641221,0.00079,0.6095±0.0008,0.609466,0.000775
dimkt,assist2009,0.6260±0.0044,0.625987,0.004355,0.1958±0.0036,0.195796,0.003627,1.0000±0.0000,1.0,0.0,0.1692±0.0043,0.169164,0.004345,0.5201±0.0061,0.520105,0.006073,0.4321±0.0072,0.432142,0.007199,0.3591±0.0078,0.359063,0.007794
dimkt,nips_task34,0.7177±0.0011,0.717699,0.001092,0.0952±0.0003,0.095154,0.000281,0.551±0.011,0.550508,0.010542,0.0737±0.0002,0.073706,0.000186,0.6648±0.0010,0.6648,0.000972,0.6158±0.0009,0.6158,0.00088,0.5704±0.0008,0.570412,0.000813
dimkt,peiyou,0.7711±0.0006,0.771058,0.000646,0.0610±0.0003,0.06097,0.000292,0.5285±0.0100,0.528458,0.009979,0.0442±0.0002,0.044198,0.000242,0.7370±0.0007,0.73698,0.000722,0.7044±0.0008,0.704407,0.000818,0.6733±0.0009,0.673274,0.000919
dkt,assist2009,0.5915±0.0024,0.591484,0.002395,0.1991±0.0036,0.199128,0.003626,1.0000±0.0000,1.0,0.0,0.1818±0.0034,0.181828,0.00341,0.4839±0.0029,0.483936,0.00292,0.3959±0.0038,0.395949,0.003785,0.3240±0.0044,0.323963,0.004367
dkt,nips_task34,0.6573±0.0009,0.657289,0.000949,0.0901±0.0009,0.090134,0.000917,0.773±0.108,0.773379,0.107815,0.0752±0.0004,0.075246,0.000439,0.6078±0.0010,0.607831,0.000978,0.5621±0.0011,0.562094,0.001058,0.5198±0.0012,0.519799,0.001156
dkt,peiyou,0.7151±0.0007,0.715128,0.000708,0.0637±0.0002,0.063704,0.000206,0.535±0.039,0.535367,0.039139,0.0497±0.0002,0.049696,0.000194,0.6796±0.0008,0.679589,0.000751,0.6458±0.0008,0.645816,0.000803,0.6137±0.0009,0.613721,0.000858
dkt+,assist2009,0.5900±0.0033,0.589977,0.003281,0.1993±0.0046,0.199267,0.004587,1.0000±0.0000,1.0,0.0,0.1821±0.0040,0.182085,0.004047,0.4826±0.0035,0.482551,0.003496,0.3947±0.0044,0.394692,0.004368,0.3228±0.0050,0.322837,0.005007
dkt+,nips_task34,0.6582±0.0014,0.658206,0.001406,0.0907±0.0015,0.090716,0.001536,0.781±0.120,0.781066,0.120325,0.0755±0.0009,0.075496,0.00093,0.6085±0.0016,0.608514,0.001584,0.5626±0.0019,0.562575,0.001866,0.5201±0.0022,0.520104,0.002159
dkt+,peiyou,0.7166±0.0006,0.716572,0.000602,0.0636±0.0002,0.063639,0.000158,0.525±0.024,0.525414,0.023531,0.0495±0.0001,0.049523,0.00014,0.6811±0.0005,0.681085,0.000525,0.6474±0.0005,0.647355,0.000469,0.6153±0.0004,0.615296,0.000435
dkvmn,assist2009,0.5790±0.0026,0.57902,0.002636,0.2044±0.0040,0.20444,0.003989,1.0000±0.0000,1.0,0.0,0.1907±0.0051,0.190663,0.00506,0.4686±0.0051,0.468632,0.005057,0.3793±0.0065,0.379302,0.006479,0.3070±0.0072,0.307009,0.007183
